"id_secteur","climateChain__1","climateChain__2","climateChain__3","climateChain__4","Chain__1","Chain__2","Chain__3","Chain__4","description__1","description__2","description__3","description__4","color__1","color__2","color__3","color__4","name__1","name__2","name__3","name__4"
"B3","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"B4","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"B5","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"B6","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"B7","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"D0","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"E1","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"E2","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"E3","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"E4","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"E5","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"E6","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_MORDOR-SD","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_CTRIP","historical-rcp85_historical-rcp85_MPI-ESM-LR_RegCM4-6_ADAMONT_ORCHIDEE","Diminution généralisée des débits","Très forte diminution des débits d'étiage et intensification des crues","Baisse drastique des débits d'étiage","Augmentation généralisée des débits",NA,NA,NA,NA,"S2","E1","A1","H1"
"F0","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_GRSD","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_GRSD","Baisse drastique des débits d'étiage","Augmentation généralisée des débits","Changements futurs relativement peu marqués","Très forte diminution des débits d'étiage et intensification des crues",NA,NA,NA,NA,"A1","H1","S3","E1"
"F1","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_GRSD","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_GRSD","Baisse drastique des débits d'étiage","Augmentation généralisée des débits","Changements futurs relativement peu marqués","Très forte diminution des débits d'étiage et intensification des crues",NA,NA,NA,NA,"A1","H1","S3","E1"
"F2","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_GRSD","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_GRSD","Baisse drastique des débits d'étiage","Augmentation généralisée des débits","Changements futurs relativement peu marqués","Très forte diminution des débits d'étiage et intensification des crues",NA,NA,NA,NA,"A1","H1","S3","E1"
"F3","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_GRSD","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_GRSD","Baisse drastique des débits d'étiage","Augmentation généralisée des débits","Changements futurs relativement peu marqués","Très forte diminution des débits d'étiage et intensification des crues",NA,NA,NA,NA,"A1","H1","S3","E1"
"F4","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT","historical-rcp85_historical-rcp85_EC-EARTH_HadREM3-GA7_ADAMONT_GRSD","historical-rcp85_historical-rcp85_MPI-ESM-LR_REMO_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_HadGEM2-ES_ALADIN63_ADAMONT_ORCHIDEE","historical-rcp85_historical-rcp85_MPI-ESM-LR_CCLM4-8-17_ADAMONT_GRSD","Baisse drastique des débits d'étiage","Augmentation généralisée des débits","Changements futurs relativement peu marqués","Très forte diminution des débits d'étiage et intensification des crues",NA,NA,NA,NA,"A1","H1","S3","E1"
